location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
Afghanistan,2,,1.0,0.16666666666666666,,
Afghanistan,3,0.07126436781609195,37.54838709677419,5.612903225806452,2.7,0.4
Afghanistan,4,0.03073770491803279,902.4666666666667,65.06666666666666,29.666666666666668,2.0
Afghanistan,5,0.014830670438039905,7279.806451612903,421.96774193548384,161.51612903225808,6.258064516129032
Afghanistan,6,0.030308607890054604,25031.466666666667,543.3,500.53333333333336,16.466666666666665
Afghanistan,7,0.10314075222954634,34749.903225806454,166.38709677419354,1081.225806451613,17.161290322580644
Afghanistan,8,0.07965194109772424,37525.709677419356,48.193548387096776,1358.0967741935483,3.838709677419355
Afghanistan,9,0.05139765554553651,38795.6,36.96666666666667,1432.9,1.9
Afghanistan,10,0.03616133518776078,40191.87096774193,69.58064516129032,1493.1290322580646,2.5161290322580645
Afghanistan,11,0.0530006186842648,43603.7,161.63333333333333,1637.7666666666667,8.566666666666666
Afghanistan,12,0.0753998476770754,49103.51612903226,169.41935483870967,2011.516129032258,12.774193548387096
Africa,2,0.0,1.4375,0.17647058823529413,,0.0
Africa,3,0.034614053305642094,1332.483870967742,186.38709677419354,52.291666666666664,6.451612903225806
Africa,4,0.043491447288608515,19688.6,1099.0666666666666,937.1333333333333,47.8
Africa,5,0.0240060850045452,85378.51612903226,3477.6129032258063,2774.7741935483873,83.48387096774194
Africa,6,0.02293084361040791,263042.93333333335,8611.4,7000.633333333333,197.46666666666667
Africa,7,0.01822703128374801,667066.7419354839,16876.74193548387,14621.612903225807,307.61290322580646
Africa,8,0.031250482022489236,1111830.935483871,10456.612903225807,25391.225806451614,326.7741935483871
Africa,9,0.026343056160208964,1371761.3,7656.666666666667,33088.666666666664,201.7
Africa,10,0.02302834232174449,1628873.7419354839,9791.58064516129,39295.290322580644,225.48387096774192
Africa,11,0.023502696419432735,1982077.2666666666,12961.633333333333,47607.53333333333,304.6333333333333
Africa,12,0.022991251177201195,2446207.935483871,18907.612903225807,57965.967741935485,434.7096774193548
Albania,3,0.06760728982951206,97.04347826086956,10.565217391304348,4.333333333333333,0.7142857142857143
Albania,4,0.030188679245283016,521.0666666666667,17.666666666666668,24.266666666666666,0.5333333333333333
Albania,5,0.005494505494505494,931.3870967741935,11.741935483870968,31.451612903225808,0.06451612903225806
